msalah,masalah
trserh,terserah
waduuuuh,waduh
ngedukung,mendukung
dihpus,dihapus
mrekaa,mereka
cakeeeeppp,cakep
benerr,benar
brg",bareng-bareng,
baanget,banget
anjaaaayyyyyy,anjay
ngetsz,banget
utkmu,untukmu
anj,anjing
merekaa,mereka
kann,kan
dieee,dia
yaahh,ya
hijap,hijab
ternodain,ternodai
ngeri2,ngeri-ngeri
mn,mana
kt2,kata-kata
agk,agak
slhkan,salahkan
jilbabny,jilbabnya
perilakuny,perilakunya
ketaatanny,ketaatannya
kepda,kepada
sblmny,sebelumnya
bljr,belajar
pedulilaaaah,pedulilah
ingetin,mengingatkan
terjrumus,terjerumus
stuju,setuju
sbb,sebab
igtlah,ingatlah
dtgkan,datangkan
benahin,membenahi
ohhhh,oh
yapp,ya
jauhh,jauh
bingitt,banget
buka2an,buka-bukaan
ngembali,kembali
sp,sapa
semngat,semangat
lekong,laki
kacauuuu,kacau
ngimpi,mimpi
owh,oh
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit-ungkit
kaleee,kali
caranga,caranya
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
nyubitt,mencubit
jls2,jelas-jelas
supeer,super
bener,benar-benar
inni,ini
appa,apa
hayooo,hayo
adyem,adem
mitnah,memfitnah
cantiknyaaaaa,cantiknya
nie,nih
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
drmn,darimana
laku",laku-laku,
orang"nya,orang-orangnya,
kacian,kasihan
cape,capek
mancing2,memancing-mancing
eeeeh,eh
kpancing,terpancing
lakuin,melakukan
cri,cari
sbenernya,sebenarnya
mikirinnn,memikirkan
diam",diam-diam,
mengalahkn,mengalahkan
nyindirin,menyindir
nee,ini
klakuan,kelakuan
mksdx,maksudnya
shabat,sahabat
jk,jika
brbuat,berbuat
mmberi,memberi
nm,nama
sbhabat,sahabat
pnjerumus,penjerumus
tman,teman
shbat,sahabat
melakukn,melakukan
seorg,seorang
berkluarga,berkeluarga
siapa2,siapa-siapa
ketipu,tertipu
laki",laki-laki,
mengait2kan,mengait-ngaitkan
nyir2,nyinyir
gosipin,menggosipkan
sendri,sendiri
bntar,bentar
duuuhhh,duh
nmbk,menembak
gakkk,tidak
abiiiiisssss,habis
tikung2,tikung-tikung
cwok,cowok
bangedd,banget
wuastagah,astaga
bedaaa,beda
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
brasa,berasa
trlihat,terlihat
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
dinamakn,dinamakan
mlu,melulu
sgtu,sebegitu
paati,pasti
th,tahu
kutuu,kutu
setelur2nya,setelur-telurnya
khadiran,kehadiran
kel,keluarga
srta,serta
kcil,kecil
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
hngga,hingga
brpndapat,berpendapat
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsyukur,bersyukur
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
perasaanny,perasaannya
diindonesis,diindonesia
liyatnya,lihatnya
kayahhh,kaya
ala2,ala-ala
yook,yuk
yoookkkk,yuk
siihh,sih
elus2,elus-elus
asliiiii,asli
aduuhhhh,aduh
belom,belum
padahl,padahal
btul,betul
da,dah
kejahatn,kejahatan
slam,salam
ngelewati,melewati
kalu,kalau
ngerendahin,merendahkan
apaalahh,apalah
tnp,tanpa
menyebut2,menyebut-nyebut
mnt,minta
kiya,kita
miriiiiip,mirip
dirimuuu,dirimu
yoiiu,yoi
semuanyaaaa,semuanya
suka.a,sukanya
jdii,jadi
blnja,belanja
brangnya,barangnya
sama",sama-sama",
lw,kalau
ada2,ada-ada
nimpuk,menimpuk
abiss,habis
prlu,perlu
coyyy,coy
suaranyaa,suaranya
jnagn,jangan
kcwa,kecewa
jaman2,jaman-jaman
sok2an,sok-sokan
dket2in,dekat-dekati
cobak,coba
britanya,beritanya
tau2,tau-tau
mahh,mah
jamam,jaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
mulutnyaaa,mulutnya
blkng,belakang
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
nembak,menembak
trmanis,termanis
krng,kurang
kaciiaann,kasihan
nyela,mencela
ngejilat,menjilat
hallooo,halo
deketin,dekati
tayik,tahi
halooo,halo
ustzah,ustazah
halow,halo
poooolllll,pol
tahannn,tahan
aduuh,aduh
nyimpen,menyimpan
ngarsipin,mengarsipkan
cman,cuman
gituuuuu,begitu
kyy,kaya
kngn,kangen
kq,kok
nyesek,menyesak
rinduuuuuuu,rindu
b2,berdua
kangeeeennn,kangen
mg,moga
aamiiiiinnn,amin
gemezzzz,gemas
kangennnnnn,kangen
prh,parah
bakattt,bakat
napsuu,napsu
gmau,tidak mau
luccu,lucu
prasaan,perasaan
lahirr,lahir
setujuuuu,setuju
sering2,sering-sering
ceemen,cemen
sembunyi,sembunyi-sembunyi
skrnh,sekarang
cerdiik,cerdik
jeniuss,jenius
kurangin,kurangi
kreen,keren
s'lalu,selalu
mauuuuuu,mau
mintk,minta
nyolong,mencolong
pnjng,panjang
slaluuuuu,selalu
kanggggg,kang
rezeqinya,rezekinya
pintr,pintar
dekk,dek
maw,mau
kura2,kura-kura
edaaann,edan
nempel,menempel
hatiiii,hati
sukkaa,suka
luuuucuuu,lucu
caantiiik,cantik
luucuuu,lucu
putihh,putih
terus"an,terus-terusan,
siiih,sih
ternyataa,ternyata
pollll,pol
sekaliiii,sekali
peduliin,mempedulikan
komntr,komentar
smngat,semangat
dosax,dosanya
pahalax,pahalanya
akhirt,akhirat
tinggalkn,tinggalkan
rumh,rumah
mk,maka
trhtung,terhitung
naaaa,nya
ademmm,adem
cerdass,cerdas
tambahh,tambah
polll,pol
didengerin,didengarkan
mantapppppp,mantap
ngerespon,merespons
dulurrr,dulur
brusaha,berusaha
pahamin,memahami
lebh,lebih
amin2,amin-amin
positippp,positif
jauuhhh,jauh
brhjb,berhijab
mdh2n,mudah-mudahan
slmnya,salamnya
jlbb,jilbab
dempga,semoga
selmnya,selamanya
tth,teteh
otot2,otot-otot
lengkeeett,lengket
caaannnttiikkk,cantik
trusss,terus
ademm,adem
apalagiii,apalagi
passs,pas
beginii,begini
satuu,satu
cuantek,cantik
akuuuur,akur
iniehh,ini
sayangx,sayangnya
jodohx,jodohnya
kaliaan,kalian
haslnya,hasilnya
kencng,kencang
pmbantu,pembantu
kmbl,kembali
cuchook,cocok
kloop,klop
sempurnaa,sempurna
klihatan,kelihatan
cintax,cintanya
pnuh,penuh
ngrti,mengerti
mudah"an,mudah-mudahan,
segalany,segala-galanya
mantanny,mantannya
jodohny,jodohnya
cantk,cantik
ituuu,itu
kaasian,kasihan
padhl,padahal
ank",anak-anak,
pkrin,pikirkan
anakx,anaknya
sia2kan,sia-siakan
naaahhh,nah
beluumm,belum
sayangggq,sayangku
kreean,keren
ciiieee,cie
cieee,cie
cieeee,cie
berenanh,berenang
pacarr,pacar
bingitss,banget
besokkk,besok
annnnjjjjjjrrrr,anjir
ngeliatin,melihati
ngumbar2,mengumbar-umbar
romantiss,romantis
cocook,cocok
lucuuuuuuuu,lucu
kaaaaaann,kan
nyaaaaaaa,nya
lgs,langsung
yaang,yang
bangedt,banget
gde,gede
lutunaaa,lucunya
bikinnn,bikin
keee,ke
bungkuuussss,bungkus
lucux,lucunya
bntr,bentar
buanyaaak,banyak
aaamiiinnn,amin
aaamiiin,amin
ntap,mantap
abgnyaah,abangnya
mungkiin,mungkin
akuhh,aku
manteb,mantap
hiduupppp,hidup
tebel,tebal
nganggepin,menanggapi
mentang",mentang-mentang,
najiss,najis
perjabatt,pejabat
makany,makanya
benneeeeeerr,benar
krjaan,pekerjaan
kdng,kadang
kdang,kadang
knan,kanan
mentang,mentang-mentang
anak'y,anaknya
trknal,terkenal
gtu",begitu-gitu,
klok,kalau
aamiiiinnnnn,amin
pengennnn,ingin
guw,gue
siiiiiiippppppppp,sip
selaloe,selalu
donggg,dong
beruntungnyaaaa,beruntungnya
soal'y,soalnya
prhatian,perhatian
hebaat,hebat
ampunn,ampun
gueeeee,gue
liatt,lihat
gehh,gih
ankknyaaa,anaknya
centilnyaaaaaa,centilnya
gemesshzzzzhzzhzhzhsjssjs,gemas
ngacaaa,mengaca
diaaa,dia
jirr,anjir
kayaa,kaya
cempreeng,cempreng
centillll,centil
pcran,pacaran
anedh,banget
ampyunnnn,ampun
boro2,boro-boro
nyta,nyata
kampungn,kampungan
j,saja
mnghina,menghina
ngolokin,mengolok
ngurusin,mengurus
blum,belum
syirik,syirik-syirik
than,tahan
dsr,dasar
siriik,sirik
mampuuu,mampu
khan,kan
aduuhh,aduh
cemburuu,cemburu
bingitzzzz,banget
tlog,tolong
apasihhh,apasih
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,membahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
genittt,genit
kx,kak
mlikk,milik
mentah,mentah-mentah
canci,cantik
aneed,banget
gimanaa,bagaimana
lainnn,lain
pentingg,penting
kenalin,memperkenalkan
bagaimanaaa,bagaimana
krudung,kerudung
enakkkkk,enak
poool,pol
jirrrr,anjir
oprasiya,operasinya
uwee,gue
pilihannny,pilihannya
itumahh,itumah
muuuu,mu
uuhhh,uh
berbakiti,berbakti
alhamd,alhamdulillah
slmttt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah-tengah
semuanyaa,semuanya
semuannyaaa,semuanya
aminn2,amin-amin
abs,habis
kebnyak'an,kebanyakan
melahirin,melahirkan
aduuuh,aduh
cakeep,cakep
lhooo,loh
kamuuuu,kamu
bagi2,bagi-bagi
gimn,bagaimana
smogaaa,semoga
biza,bisa
aamien,amien
lngsing,langsing
wowoooww,wow
smulla,semula
pdhall,padahal
blln,bulan
senang2,senang-senang
jh,saja
kereeennnn,keren
gilakkk,gila
gtu2,begitu-gitu
cpet,cepat
gataunya,tidak taunya
gtau,tidak tau
fans2,fan-fan
gaharus,tidak harus
ketemuin,ketemu
diketemuin,ketemu
bangst,bangsat
feb,februari
pavorit,favorit
nya,ya
lu,kamu
militia,militer
bu,ibu
dok,dokter
aaaa,a
aaaaa,a
aaaaaaa,a
aaaaaaaaaaaaaaaaaaaa,a
acaranyaaaaaaa,acaranya
adalahhhhhhh,adalah
ahahahahahhah,haha
ahmaksudnya,maksudnya
ajsajsjsjsshsj,asu  
akarakarya,akar-akarnya
alhamdulilah,alhamdulillah
alhamdullilah,alhamdulillah
allhamdulillah,alhamdulillah
anehhhhhhhhhhhhhhhhhhhh,aneh
anjiiinggggg,anjing  
anjngggggggg,anjing  
aowkaowkaowk,awokawok  
aowkwkwkwkwk,awokawok  
arghhhhhhhhhhhhhhhhhhhhhhhhhhhh,argh 
asistensikan,asistenkan
assalamualaikum,assalamu'alaikum
astagfirullah,astaghfirullah
atasnamakan,atas namakan
aturanaturan,aturan-aturan
awkowkowkowkow,awokawok  
awoakwokaowk,awokawok  
awokawokawok,awokawok  
awoskoaakaoakak,awokawok  
bangeettttt,banget
bangeetttttt,banget
bangetsedih,banget sedih
bangettttaku,banget aku
bangetwkjriwjdjw,banget
banyakbanyak,banyak-banyak
bapakkkkkkkkk,bapak
bapakkkkkkkkkk,bapak
barangbarang,barang-barang
barengbareng,bareng-bareng
barudaaaakkkk,baru dong
bejirrkaburduluaja,bejir kabur dulu aja  
belajarnyaa,belajarnya
berantemkalo,berantem kalau
berbulanbulan,berbulan-bulan
berinteligensi,berintelijen
berkalikali,berkali-kali
berkarirlbh,berkarir lah
berprevilise,berprivilege
berprivillege,berprivilege
bersabdaaaa,bersabda
bersamasama,bersama-sama
bersihbersih,bersih-bersih
bertanggungjawab,bertanggung jawab
bertanyatanya,bertanya-tanya
besarbesaran,besar-besaran
bismillaahh,bismillah
bismillahirrohmanirrohim,bismillahirrahmanirrahim
bisnisajadulu,bisnis aja dulu
bisnisbisnis,bisnis-bisnis
bobrooookkkkkkk,bobrok  
bojongtuyul,bojong tuyul   tempat
bongkarbongkar,bongkar-bongkar
bruakakakakak,bruakak  
btsthanniversary,bts thanniversary  
bubblycuddly,bubbly cuddly
bulbulhabis,bulbul habis
capeknganggur,capek nganggur
cecunguknya,cecunguknya  
cengengesan,cengengesan  # tertawa sinis
cewekindonesia,cewek indonesia
ciumbuleuit,cium buleuit  # asumsi lokasi
ciyeeefinalis,ciye finalis  
confesssssss,confess
congratssssszzz,congrats
congrattssss,congrats
dahlahdisiniaja,dahlah disini aja
danggeunmin,danggeun min  
dediindonesiagelap,dedi indonesia gelap
dengankabur,dengan kabur
diarepinhonestly,diare pin honestly  
dibawahhooii,di bawah hoii
dibeginikan,dibeginikan  ?
dideportasilagi,dideportasi lagi
dihargaikaburajadulu,dihargai kabur aja dulu
dihargainnya,dihargainya
dijualdiwariskan,dijual diwariskan
dijualjualin,dijual-jualin
dikitaowkoawk,dikit awokawok  
dinyinyirin,dinyinyirin  
dioptimalin,dioptimalkan
diperjuangin,diperjuangkan
dipermasalahin,dipermasalahkan
diprioritasin,diprioritaskan
disappeared,menghilang
disekolahin,disekolahkan
diselametin,diselamatkan
disepelekanteringat,disepelekan teringat
ditangkepin,ditangkapin  
ditempeleng,ditempeleng  
ditinggalim,ditinggalin  
ditinggalin,ditinggalkan
doeljakarta,doel jakarta  
doodstreamterbaru,doodstream terbaru
duludijawab,dulu dijawab
dulupercuma,dulu percuma
duluternyata,dulu ternyata
eee,e
eepsaefullohfatah,eep saefulloh fatah  
ekwkwkwkwkkw,wkwkwk  
embarrassment,malu
enakinajadulu,enak aja dulu
essentially,pada dasarnya
expectations,ekspektasi
experienced,berpengalaman
experimental,eksperimental
exploreindonesia,explore indonesia
explorepage,explore page
fangirlingan,fangirling an  
februarikabur,februari kabur
feel,rasa
financially,secara finansial
flawlessoonchan,flawless oonchan  
forewarning,peringatan dini
forgooddiindo,for good di indo
freewstpapua,free west papua
fresh,segar
frustration,frustasi
fufufafaaibnasional,fufufafa aib nasional  
fyppppppppppppppppppppppp,fyp
fypviraltwitter,fyp viral twitter
gabisakabur,gabisa kabur
gadistercanti,gadis tercanti  
gagalbrandinggagalnikah,gagal branding gagal nikah
gagalmakambungkarno,gagal makam bung karno
gakmikirmikir,gak mikir-mikir
gaksabarbesokgajian,gak sabar besok gajian
gaslighting,gas lighting  
gassssssspooooooooooool,gas pol  semangat
gataubalikatauga,gatau balik atau ga
gedheitukita,gedhe itu kita  
gelapbanget,gelap banget
generalisir,generalisir  
gidahsonoyangjauh,pergi sana yang jauh  
gijinkokuengineer,gijinkoku engineer  
giveawayindonesia,give away indonesia
giveawaynya,give away nya
goblokgoblok,goblok goblok  
good,bagus
govlockskill,gov lock skill  
gwehotwdiaspora,gue hot w diaspora  
gwencanaaaayooo,gue rencana ayo  
habatasaudah,habis sudah
habishabisan,habis-habisan
hahahahaaha,haha
hahahahahaa,haha
hahhahahaha,haha
hahshsnkakakdu,haha  
hallucination,halusinasi
hancurtagar,hancur tagar
happy,senang
harunmasikukaburajadulu,harun masiku kabur aja dulu
hate,benci
hatinyalalu,hatinya lalu
haveichanged,have i changed
hellloowrrr,hello
hello,halo
hellocation,hello location  
hellomotogotyle,hello moto go style  
hhhh,h
hhhhhhhh,h
hi,hai
hijrahajadulu,hijrah aja dulu
hilangsajadulu,hilang aja dulu
hinamuslimkemudian,hina muslim kemudian
hiraganakatakana,hiragana katakana  
hitunghitung,hitung-hitung
hoaxpengalihan,hoax pengalihan
hohohooooooo,hohoho  
holdduluaja,hold dulu aja
holyairball,holy air ball  
humanrights,hak asasi manusia
hyperinflation,hiperinflasi
icecreamvape,ice cream vape
idielogisnya,ideologisnya
idolswisatawan,idols wisatawan  
ijazahjokowi,ijazah jokowi
ijazahpalsu,ijazah palsu
ijazahpalsujokowi,ijazah palsu jokowi
ikhlassssss,ikhlas
ikuuuuuuttt,ikut
illustrator,ilustrator
indiaampchina,india amp china
indognesial,indonesial  
indonesiaaah,indonesia
indonesiaaneh,indonesia aneh
indonesiaaustralia,indonesia australia
indonesiabaru,indonesia baru
indonesiabubar,indonesia bubar
indonesiabubardikuasaipremankhilafah,indonesia bubar dikuasai preman khilafah
indonesiacemas,indonesia cemas
indonesiadarurat,indonesia darurat
indonesiaemas,indonesia emas
indonesiagelao,indonesia gelap  
indonesiagelap,indonesia gelap
indonesiagelapgelap,indonesia gelap-gelap
indonesiagelapgulita,indonesia gelap gulita
indonesiagelapjilid,indonesia gelap jilid
indonesiagelapndasmu,indonesia gelap ndasmu  
indonesiakuat,indonesia kuat
indonesialebihkuat,indonesia lebih kuat
indonesiamaju,indonesia maju
indonesiamakingelap,indonesia makin gelap
indonesiamasters,indonesia masters
indonesiamendunia,indonesia mendunia
indonesiamereka,indonesia mereka
indonesianidol,indonesian idol
indonesianidolxiii,indonesian idol xiii
indonesians,indonesia
indonesiapenjajah,indonesia penjajah
indonesiasehat,indonesia sehat
indonesiaviral,indonesia viral
indonesiawaspada,indonesia waspada
indoviralterbaru,indo viral terbaru
indsiagelap,indonesia gelap  
industripabrik,industri pabrik
inferiority,inferioritas
infobeasiswa,info beasiswa
infogiveaway,info giveaway
infojobjepang,info job jepang
information,informasi
infosumbawa,info sumbawa
inggriskaburajadulu,inggris kabur aja dulu
inirasanyasuper,ini rasanya super
instalkelshinta,instal kelshinta  
interactive,interaktif
international,internasional
intrnational,international  
introduction,pengenalan
investorkabur,investor kabur
istandwithsharmishta,i stand with sharmishta
jackpotcrashcourse,jackpot crash course
jackpotramadhan,jackpot ramadhan
jacktherapist,jack therapist  
jalaninajadulu,jalanin aja dulu
jalanjalannya,jalan-jalannya
jalanjembatan,jalan jembatan
janganjadidosen,jangan jadi dosen
janganjangan,jangan-jangan
janganlupabersyukur,jangan lupa bersyukur
janganpulangaja,jangan pulang aja
janganpulangajadulu,jangan pulang aja dulu
janganpulangdulu,jangan pulang dulu
januariperingatan,januari peringatan
jepanggelap,jepang gelap
jepangjerman,jepang jerman
jepangkorea,jepang korea
jepangkorsel,jepang korsel
jerumuskandiriyuk,jerumuskan diri yuk
jobopportunity,job opportunity
jogjamemanggil,jogja memanggil
jokowigakusahpulang,jokowi gak usah pulang
jokowipenipuijazah,jokowi penipu ijazah
jokowitakutdiadili,jokowi takut diadili
jokowitamat,jokowi tamat
jumatberkah,jumat berkah
justgoddamnit,just goddamnit  
kabarajadulu,kabar aja dulu
kabinetgendut,kabinet gendut  # ejekan
kabinetkoruptor,kabinet koruptor
kaburajaburuan,kabur aja buruan
kaburajadehlu,kabur aja deh lu  
kaburajadlu,kabur aja dulu  
kaburajadulu,kabur aja dulu
kaburajadulumohon,kabur aja dulu mohon
kaburajadulusampai,kabur aja dulu sampai
kaburajadulusaya,kabur aja dulu saya
kaburajaduluya,kabur aja dulu ya
kaburajaduluvietnam,kabur aja dulu vietnam
kaburajagausahbalik,kabur aja gausah balik  
kaburajaselamanya,kabur aja selamanya
kaburajayuk,kabur aja yuk
kaburdisana,kabur disana
kaburduluaja,kabur dulu aja
kaburduluajanya,kabur dulu aja nya
kaburduluajaprabowosubianto,kabur dulu aja prabowo subianto
kaburduluan,kabur duluan
kaburgasngeng,kabur gas ngeeng  
kaburinduitdulu,kabur induit dulu  
kaburinvestorlg,kabur investor lg  
kaburkaburan,kabur-kaburan
kaburkejepang,kabur ke jepang
kaburkekorseldulu,kabur ke korsel dulu
kaburlagiaja,kabur lagi aja
kaburrrrrrrrrrrr,kabur
kabursajadulu,kabur saja dulu
kamibersamayuranfernandes,kami bersama yuran fernandes  
kampunghalaman,kampung halaman
kangenkampunghalaman,kangen kampung halaman
kanpekiseijo,kanpeki seijo  
karimunjawa,karimun jawa  
karirinternasional,karir internasional
karyaanakbangsa,karya anak bangsa
katakatamotivasi,kata-kata motivasi
katakatamutiara,kata-kata mutiara
kawankawanku,kawan-kawanku
kebanyakkan,kebanyakan  
keberengsekan,keberesan  
kebijakannn,kebijakannya  
kecewapilihprabowo,kecewa pilih prabowo
kedapetannn,kedapetan  
keeptalking,keep talking
kejahatansatuserver,kejahatan satu server
kekuarganya,keluarganya  
kekuranganya,kekurangannya  
keluarkeluar,keluar-keluar
keluarnegeriaja,keluar negeri aja
kemanaaaaaa,kemana
kemanaaaaaahhhhhhhhhhhh,kemana
kemanggisan,kemanggisan  
kemarinkemarin,kemarin-kemarin
kemariwkwkw,kemari wkwkw  
kementrianpendidikan,kementerian pendidikan  
kentuajadulu,kentua aja dulu  
kepaladaerah,kepala daerah
keraguankesedihankegagalan,keraguan kesedihan kegagalan
kerjaampminimnya,kerja amp minimnya  
kerjaanjadi,kerjaan jadi
kerjabelajar,kerja belajar
kerjadijepang,kerja di jepang
kerjadijerman,kerja di jerman
kerjadikanada,kerja dikanada  
kerjadiluarneger,kerja di luar negeri  
kerjadiluarnegeri,kerja di luar negeri
kerjajepang,kerja jepang
kerjakejepang,kerja ke jepang
kerjakuliahsekolah,kerja kuliah sekolah
kerjaluarnegeri,kerja luar negeri
kerjangejar,kerja ngejar
kesalamatan,keselamatan  
kesampaianjadi,kesampaian jadi
kesejahtrraan,kesejahteraan  
kesinisalah,kesini salah
kestrugglean,ke-struggle-an  # istilah slang
kesusksesan,kesuksesan  
ketangkeptangkep,ketang kep tangkep  
ketipuuuuuuuuuuuuuu,ketipu  
ketrampilan,keterampilan  
kewargakenegaraan,kewarganegaraan  
kiamatsudahdekat,kiamat sudah dekat
kingsharvard,kings harvard  
kkk,k
kkkk,k
klinissoalnya,klinis soalnya
kluivertout,kluivert out  
kodeundagan,kode undagan  
kolaborasiperkuatbangsa,kolaborasi perkuat bangsa
komikwebtoon,komik webtoon
komunikasiin,komunikasiin  
konohagakure,konoha gakure  
koreaselatan,korea selatan
korupsipertamina,korupsi pertamina
kosongkepentingan,kosong kepentingan
kpemimpinan,kepemimpinan  
krustycrepes,krusty crepes  
kuliahajadulu,kuliah aja dulu
kuliahdichina,kuliah di china
kuliahdihongkong,kuliah di hongkong
kuliahdiinggris,kuliah di inggris
kuliahdikorea,kuliah di korea
kuliahdiluar,kuliah di luar
kuliahdiluarnegeri,kuliah di luar negeri
kuliahindonesiagelap,kuliah indonesia gelap
kuliahluarnegeri,kuliah luar negeri
kurekomendasi,ku rekomendasi
kursusbahasainggris,kursus bahasa inggris
kursusbahasajepang,kursus bahasa jepang
kursusbahasakorea,kursus bahasa korea
lagakproduser,lagak produser
lainstrategi,lain strategi
lalalalilili,lalalalilili  # nyanyian
langkahlangkah,langkah-langkah
lawancaraculas,lawan cara culas
lazadapestagajian,lazada pest a gajian  
lebihbaikkabur,lebih baik kabur
lesbahasajepang,les bahasa jepang
liburandirumahaja,liburan di rumah aja
lifeafterpilpres,life after pilpres
like,suka
linemanxfayeperaya,line man x faye peraya  
linkgacorslot,link gacor slot
lisamariana,lisa mariana  
listriktelfon,listrik telpon  
lizzizuankabur,lizzi zuan kabur  
logikangawur,logika ngawur
logobukanidentitas,logo bukan identitas
lokerjepang,loker jepang
lokerterbaru,loker terbaru
lokerwithpiki,loker with piki  
love,cinta
lowongankerja,lowongan kerja
lowonganpekerjaan,lowongan pekerjaan
luminescence,luminesensi
magangapprenticeship,magang apprenticeship
magangjepang,magang jepang
mahasiswaberaksi,mahasiswa beraksi
makinkesinimakinkesono,makin kesini makin kesono
maklumudahgamuda,maklum udah gamuda  
malamminggu,malam minggu
mamatkopling,mamat kopling  
manajemenit,manajemen it
manchesterunited,manchester united
mandiribeasiswa,mandiri beasiswa
mandorizinmundur,mandor izin mundur  
manifesting,manifesting  
manipulating,memanipulasi
mantukmantuk,mantuk-mantuk  
masadepansuram,masa depan suram
masalahnyee,masalahnya  
masingmasing,masing-masing
masterbagasi,master bagasi
masukajadulu,masuk aja dulu
matamuehndasmu,matamu eh ndasmu  
matiajadulu,mati aja dulu
matidisiksa,mati disiksa
mauahuahauahau,mau ah uahauahau  
maukaburajadulu,mau kabur aja dulu
mautsementara,mau t sementara  
mayapadacurang,mayapada curang
mberotkaburduluaja,mberot kabur dulu aja  
mbginvestasimasadepan,mbg investasi masa depan  
mechatronica,mechatronica  
meetnitelive,meet nite live
meetnitelivemetrotv,meet nite live metro tv
memanusiakanmanusia,memanusiakan manusia
memberikansanjungankokpadapelakukorapdanperilakunya,memberikan sanjungan kok pada pelaku korap dan perilakunya  
membugarkandemokrasi,membugar kan demokrasi
memeindonesia,meme indonesia
memelndonesia,meme indonesia  
memerahraut,memerah raut
mempersilahkan,mempersilakan
mempraktekkan,mempraktikkan
menagihjanjikampanye,menagih janji kampanye
menakutnakuti,menakut-nakuti
menangterus,menang terus
mencakmencak,mencak-mencak
menengahatas,menengah atas
menentunegara,menentunegara  
menerimakabahar,menerima kabahar  
mengapaakuwni,mengapa aku wni  
mengclearkan,meng-clear-kan  
mengekploitasi,mengeksploitasi  
mengeskpresikan,mengekspresikan  
menggebugebu,menggebu-gebu
mentalhealthmatters,mental health matters
mentangmentang,mentang-mentang
mentokmentok,mentok-mentok
menyalahlan,menyalahkan  
menyingkirdulu,menyingkir dulu
meraungraung,meraung-raung
mercenaries,tentara bayaran
merekatutup,mereka tutup
merekedeweng,mereka deweng  
meritrokrasi,meritokrasi  
mesramesraan,mesra mesraan
metrotvnews,metro tv news
middleclass,middle class
migasselama,migas selama
migranindonesia,migran indonesia
mikirkayanya,mikir kayanya
minghaodeservesbetter,minghao deserves better  
mingyuxcalvinklein,mingyu x calvin klein  
minyakoplosan,minyak oplosan
mirrorselfies,mirror selfies
mixedcouple,mixed couple
mmm,mm
mmprtimbangkan,mempertimbangkan  
mockupwawancara,mockup wawancara
moncerkalau,moncer kalau
mood,suasana hati
moqeelatagzeps,moqeela tagzeps  
muakjadiwni,muak jadi wni
muaknegerisendiri,muak negeri sendiri
mudikgratis,mudik gratis
multinational,multinasional
mulyonokabur,mulyono kabur  
mulyonowowok,mulyono wowok  
mundurkemudian,mundur kemudian
musibahlalu,musibah lalu
musikindonesia,musik indonesia
mygoldenbloodep,my golden blood ep  
mykaburajadulu,my kabur aja dulu
myxanniversary,myx anniversary  
nangisnangis,nangis-nangis
nasionalismepadahal,nasionalisme padahal
nationalism,nasionalisme
nationality,kewarganegaraan
nazarpemilu,nazar pemilu
negarameliteristik,negara meliteristik  
negaranegara,negara-negara
negerikabur,negeri kabur
negerikangenkampunghalaman,negeri kangen kampung halaman
negerimanifesting,negeri manifesting
negerisurgakoruptor,negeri surga koruptor
negrikriminal,negri kriminal  
netherlands,belanda
neverforget,never forget
neverstoplearning,never stop learning
newprofilepic,new profile pic
nexthttpstcoqbnfssro,next httpstcoqbnfssro 
ngacengajadulu,ngaceng aja dulu  
ngagerakeun,ngagerakeun  
ngakakakakak,ngakak  
ngakakkkkkkkkk,ngakak  
ngakakterus,ngakak terus
ngakalinnya,ngakalinnya  
ngalanjutken,ngalanjutken  
ngambekhadeh,ngambek hadeh 
nganuuuhmmmkabur,nganu uhmmm kabur  
ngayogyakarta,ngayogyakarta  
ngebayangin,ngebayangin  
ngedengerin,ngedengerin  
ngediscourage,ngediscourage  
ngegaslight,ngegaslight  
ngegoblokin,ngegoblokin  
ngejemputnya,ngejemputnya  
ngelakuinnya,ngelakuinnya  
ngelanjutin,ngelanjutin  
ngelesnyabilang,ngelesnya bilang  
ngelurusinnya,ngelurusinnya  
ngemisngemis,ngemis-ngemis
ngerencanain,ngerencanain  
ngesawadikapin,ngesawa dikapin  
ngetweet,ngetweet  
ngoahahahahaha,ngoahahaha  
ngomongkomen,ngomong komen  
nikahajadulu,nikah aja dulu
