full_text,text_cleaned_initial,text_no_emojis,text_casefolded,text_slang_fixed,text_tokenized,text_stopwords_removed
Belajar bahasa Inggris yang bener dan antusias biar pas gede lu mudah buat Kabur Aja Dulu.,Belajar bahasa Inggris yang bener dan antusias biar pas gede lu mudah buat Kabur Aja Dulu,Belajar bahasa Inggris yang bener dan antusias biar pas gede lu mudah buat Kabur Aja Dulu,belajar bahasa inggris yang bener dan antusias biar pas gede lu mudah buat kabur aja dulu,belajar bahasa inggris yang benar dan antusias biar pas gede kamu mudah buat kabur saja dulu,"['belajar', 'bahasa', 'inggris', 'yang', 'benar', 'dan', 'antusias', 'biar', 'pas', 'gede', 'kamu', 'mudah', 'buat', 'kabur', 'saja', 'dulu']","['belajar', 'bahasa', 'inggris', 'antusias', 'biar', 'pas', 'gede', 'mudah', 'kabur']"
memang Allah maha membolak balikkan hati ya udah tinggal selangkah lagi nih kabur dari Indonesia tapi yaaah kita coba stay dulu aja Bismillah,memang Allah maha membolak balikkan hati ya udah tinggal selangkah lagi nih kabur dari Indonesia tapi yaaah kita coba stay dulu aja Bismillah,memang Allah maha membolak balikkan hati ya udah tinggal selangkah lagi nih kabur dari Indonesia tapi yaaah kita coba stay dulu aja Bismillah,memang allah maha membolak balikkan hati ya udah tinggal selangkah lagi nih kabur dari indonesia tapi yaaah kita coba stay dulu aja bismillah,memang allah maha membolak balikkan hati iya sudah tinggal selangkah lagi ini kabur dari indonesia tapi yaaah kita coba stay dulu saja bismillah,"['memang', 'allah', 'maha', 'membolak', 'balikkan', 'hati', 'iya', 'sudah', 'tinggal', 'selangkah', 'lagi', 'ini', 'kabur', 'dari', 'indonesia', 'tapi', 'yaaah', 'kita', 'coba', 'stay', 'dulu', 'saja', 'bismillah']","['allah', 'maha', 'membolak', 'balikkan', 'hati', 'tinggal', 'selangkah', 'kabur', 'indonesia', 'yaaah', 'coba', 'stay', 'bismillah']"
Nih yang bilang pindah aja dulu bikin paspor dulu. Mikir Napa ga segampang itu ye kampret noh liat pekerja dari indo kena layoff. Buka mata dah ekonomi kaga stabil gini enteng bener kalo ngomong kabur . Mentang lu golput apa gimana.,Nih yang bilang pindah aja dulu bikin paspor dulu Mikir Napa ga segampang itu ye kampret noh liat pekerja dari indo kena layoff Buka mata dah ekonomi kaga stabil gini enteng bener kalo ngomong kabur  Mentang lu golput apa gimana,Nih yang bilang pindah aja dulu bikin paspor dulu Mikir Napa ga segampang itu ye kampret noh liat pekerja dari indo kena layoff Buka mata dah ekonomi kaga stabil gini enteng bener kalo ngomong kabur  Mentang lu golput apa gimana,nih yang bilang pindah aja dulu bikin paspor dulu mikir napa ga segampang itu ye kampret noh liat pekerja dari indo kena layoff buka mata dah ekonomi kaga stabil gini enteng bener kalo ngomong kabur  mentang lu golput apa gimana,ini yang bilang pindah saja dulu bikin paspor dulu mikir kenapa ga segampang itu ye sialan noh lihat pekerja dari indonesia kena layoff buka mata deh ekonomi tidak stabil gini enteng benar kalau bicara kabur mentang kamu golongan putih apa bagaimana,"['ini', 'yang', 'bilang', 'pindah', 'saja', 'dulu', 'bikin', 'paspor', 'dulu', 'mikir', 'kenapa', 'ga', 'segampang', 'itu', 'ye', 'sialan', 'noh', 'lihat', 'pekerja', 'dari', 'indonesia', 'kena', 'layoff', 'buka', 'mata', 'deh', 'ekonomi', 'tidak', 'stabil', 'gini', 'enteng', 'benar', 'kalau', 'bicara', 'kabur', 'mentang', 'kamu', 'golongan', 'putih', 'apa', 'bagaimana']","['bilang', 'pindah', 'bikin', 'paspor', 'mikir', 'segampang', 'ye', 'sialan', 'noh', 'lihat', 'pekerja', 'indonesia', 'kena', 'layoff', 'buka', 'mata', 'deh', 'ekonomi', 'stabil', 'gini', 'enteng', 'bicara', 'kabur', 'mentang', 'golongan', 'putih']"
YANG KABUR AJA DULU DIKATAIN GA PUNYA NASIONALISME. YANG NINDAS RAKYAT KAYAK KALIAN INIKAH YANG DINAMAKAN NASIONALISME? #TolakRUUTNI #TolakRevisiUUTNI #PeringatanDarurat #IndonesiaGelap #TolakDwifungsiABRI #TolakRUUPolri #TolakRUUKejaksaan,YANG KABUR AJA DULU DIKATAIN GA PUNYA NASIONALISME YANG NINDAS RAKYAT KAYAK KALIAN INIKAH YANG DINAMAKAN NASIONALISME,YANG KABUR AJA DULU DIKATAIN GA PUNYA NASIONALISME YANG NINDAS RAKYAT KAYAK KALIAN INIKAH YANG DINAMAKAN NASIONALISME,yang kabur aja dulu dikatain ga punya nasionalisme yang nindas rakyat kayak kalian inikah yang dinamakan nasionalisme,yang kabur saja dulu dikatain ga punya nasionalisme yang nindas rakyat kayak kalian inikah yang dinamakan nasionalisme,"['yang', 'kabur', 'saja', 'dulu', 'dikatain', 'ga', 'punya', 'nasionalisme', 'yang', 'nindas', 'rakyat', 'kayak', 'kalian', 'inikah', 'yang', 'dinamakan', 'nasionalisme']","['kabur', 'dikatain', 'nasionalisme', 'nindas', 'rakyat', 'kayak', 'dinamakan', 'nasionalisme']"
dante jangan kabur aja dulu pls stay dan tetap menghibur masyarakat,dante jangan kabur aja dulu pls stay dan tetap menghibur masyarakat,dante jangan kabur aja dulu pls stay dan tetap menghibur masyarakat,dante jangan kabur aja dulu pls stay dan tetap menghibur masyarakat,dante jangan kabur saja dulu tolong stay dan tetap menghibur masyarakat,"['dante', 'jangan', 'kabur', 'saja', 'dulu', 'tolong', 'stay', 'dan', 'tetap', 'menghibur', 'masyarakat']","['dante', 'kabur', 'tolong', 'stay', 'menghibur', 'masyarakat']"
@noblenatures kabur aja dulu,kabur aja dulu,kabur aja dulu,kabur aja dulu,kabur saja dulu,"['kabur', 'saja', 'dulu']",['kabur']
@raffimulyaa Warga korut dulu aja pada kabur kelaparan ya anjim mereka malah ga bahagia di sana,Warga korut dulu aja pada kabur kelaparan ya anjim mereka malah ga bahagia di sana,Warga korut dulu aja pada kabur kelaparan ya anjim mereka malah ga bahagia di sana,warga korut dulu aja pada kabur kelaparan ya anjim mereka malah ga bahagia di sana,warga korut dulu saja pada kabur kelaparan iya anjim mereka bahkan ga bahagia di sana,"['warga', 'korut', 'dulu', 'saja', 'pada', 'kabur', 'kelaparan', 'iya', 'anjim', 'mereka', 'bahkan', 'ga', 'bahagia', 'di', 'sana']","['warga', 'korut', 'kabur', 'kelaparan', 'anjim', 'bahagia']"
@doodliedoe HAHAHAHA bener juga ya gue tanyain mau jadi wna aja apa ya biar sekalian kabur aja dulu?,HAHAHAHA bener juga ya gue tanyain mau jadi wna aja apa ya biar sekalian kabur aja dulu,HAHAHAHA bener juga ya gue tanyain mau jadi wna aja apa ya biar sekalian kabur aja dulu,hahahaha bener juga ya gue tanyain mau jadi wna aja apa ya biar sekalian kabur aja dulu,hahahaha benar juga iya saya tanyain mau jadi wna saja apa iya biar sekalian kabur saja dulu,"['hahahaha', 'benar', 'juga', 'iya', 'saya', 'tanyain', 'mau', 'jadi', 'wna', 'saja', 'apa', 'iya', 'biar', 'sekalian', 'kabur', 'saja', 'dulu']","['hahahaha', 'tanyain', 'wna', 'biar', 'kabur']"
@Reagan1239526 Eh anak lacur gue dari dulu tiap ditilang aja kaga kabur ya anjing. Ampe ada thread gue yg bahas soal tilang tilangan. Gausah sok keras kalo lo gak buka DM atau ngeDM gue dalam 24 jam buat janjian ketemuan BANCI.,Eh anak lacur gue dari dulu tiap ditilang aja kaga kabur ya anjing Ampe ada thread gue yg bahas soal tilang tilangan Gausah sok keras kalo lo gak buka DM atau ngeDM gue dalam  jam buat janjian ketemuan BANCI,Eh anak lacur gue dari dulu tiap ditilang aja kaga kabur ya anjing Ampe ada thread gue yg bahas soal tilang tilangan Gausah sok keras kalo lo gak buka DM atau ngeDM gue dalam  jam buat janjian ketemuan BANCI,eh anak lacur gue dari dulu tiap ditilang aja kaga kabur ya anjing ampe ada thread gue yg bahas soal tilang tilangan gausah sok keras kalo lo gak buka dm atau ngedm gue dalam  jam buat janjian ketemuan banci,eh anak lacur saya dari dulu tiap ditilang saja tidak kabur iya anjing ampe ada thread saya yang bahas soal bukti pelanggaran tilangan gausah sok keras kalau kamu gak buka dm atau ngedm saya dalam jam buat janjian ketemuan banci,"['eh', 'anak', 'lacur', 'saya', 'dari', 'dulu', 'tiap', 'ditilang', 'saja', 'tidak', 'kabur', 'iya', 'anjing', 'ampe', 'ada', 'thread', 'saya', 'yang', 'bahas', 'soal', 'bukti', 'pelanggaran', 'tilangan', 'gausah', 'sok', 'keras', 'kalau', 'kamu', 'gak', 'buka', 'dm', 'atau', 'ngedm', 'saya', 'dalam', 'jam', 'buat', 'janjian', 'ketemuan', 'banci']","['eh', 'anak', 'lacur', 'ditilang', 'kabur', 'anjing', 'ampe', 'thread', 'bahas', 'bukti', 'pelanggaran', 'tilangan', 'gausah', 'sok', 'keras', 'buka', 'dm', 'ngedm', 'jam', 'janjian', 'ketemuan', 'banci']"
@melkchie anjir udah pernah dilamar gitu kah mksdnya? kalo masih belum siap..pilihan terbaik emang kabur dulu aja sih aksksk,anjir udah pernah dilamar gitu kah mksdnya kalo masih belum siappilihan terbaik emang kabur dulu aja sih aksksk,anjir udah pernah dilamar gitu kah mksdnya kalo masih belum siappilihan terbaik emang kabur dulu aja sih aksksk,anjir udah pernah dilamar gitu kah mksdnya kalo masih belum siappilihan terbaik emang kabur dulu aja sih aksksk,anjing sudah pernah dilamar gitu kah mksdnya kalau masih belum siappilihan terbaik emang kabur dulu saja sih aksksk,"['anjing', 'sudah', 'pernah', 'dilamar', 'gitu', 'kah', 'mksdnya', 'kalau', 'masih', 'belum', 'siappilihan', 'terbaik', 'emang', 'kabur', 'dulu', 'saja', 'sih', 'aksksk']","['anjing', 'dilamar', 'gitu', 'mksdnya', 'siappilihan', 'terbaik', 'emang', 'kabur', 'aksksk']"
